date,cnn_lstm_score,xgb_prob,recommendation
2025-02-03,-0.03960495442152023,0.3398396670818329,SELL
2025-02-04,-0.03964729234576225,0.32017022371292114,SELL
2025-02-05,-0.03959589824080467,0.4878396689891815,HOLD
2025-02-06,-0.03933890908956528,0.6194421052932739,BUY
2025-02-07,-0.03915359452366829,0.15915095806121826,SELL
2025-02-10,-0.03921123221516609,0.5097376704216003,HOLD
2025-02-11,-0.03921469673514366,0.36630120873451233,SELL
2025-02-12,-0.03902219608426094,0.5955328345298767,HOLD
2025-02-13,-0.03895120695233345,0.6194421052932739,BUY
2025-02-14,-0.03903264179825783,0.5227901339530945,HOLD
2025-02-18,-0.039392199367284775,0.48725196719169617,HOLD
2025-02-19,-0.0394054614007473,0.48725196719169617,HOLD
2025-02-20,-0.03925994411110878,0.4893183708190918,HOLD
2025-02-21,-0.039455339312553406,0.48259544372558594,HOLD
2025-02-24,-0.03958256170153618,0.4999316334724426,HOLD
2025-02-25,-0.03956006094813347,0.48380064964294434,HOLD
2025-02-26,-0.03992532193660736,0.43538132309913635,HOLD
2025-02-27,-0.03975792974233627,0.4387691617012024,HOLD
2025-02-28,-0.03952157869935036,0.5775622725486755,HOLD
2025-03-03,-0.03941714018583298,0.48099231719970703,HOLD
2025-03-04,-0.039650171995162964,0.4387691617012024,HOLD
2025-03-05,-0.039638590067625046,0.5129427313804626,HOLD
2025-03-06,-0.03960370272397995,0.47068285942077637,HOLD
2025-03-07,-0.03976931795477867,0.6194421052932739,BUY
2025-03-10,-0.03993143141269684,0.3192461133003235,SELL
2025-03-11,-0.03996593505144119,0.3192461133003235,SELL
2025-03-12,-0.0402531772851944,0.5219113230705261,HOLD
2025-03-13,-0.04035048559308052,0.5573388934135437,HOLD
2025-03-14,-0.04010825604200363,0.4617421329021454,HOLD
2025-03-17,-0.03978374972939491,0.48255524039268494,HOLD
2025-03-18,-0.03957436606287956,0.48255524039268494,HOLD
2025-03-19,-0.039065923541784286,0.4684043824672699,HOLD
2025-03-20,-0.03861842304468155,0.4660995602607727,HOLD
2025-03-21,-0.03830152750015259,0.46062541007995605,HOLD
2025-03-24,-0.03789212554693222,0.45980241894721985,HOLD
2025-03-25,-0.037901535630226135,0.497227281332016,HOLD
2025-03-26,-0.03775911033153534,0.5659050941467285,HOLD
2025-03-27,-0.037498243153095245,0.4838428497314453,HOLD
2025-03-28,-0.03700464218854904,0.5685277581214905,HOLD
